Id,Category
0,7
1,3
2,4
3,4
4,3
5,5
6,7
7,0
8,5
9,3
10,2
11,9
12,9
13,0
14,9
15,3
16,8
17,6
18,5
19,3
20,1
21,3
22,5
23,2
24,5
25,2
26,5
27,6
28,2
29,7
30,8
31,7
32,1
33,7
34,9
35,0
36,5
37,7
38,2
39,1
40,6
41,4
42,9
43,8
44,1
45,7
46,7
47,6
48,4
49,4
50,6
51,0
52,2
53,0
54,0
55,9
56,9
57,3
58,3
59,7
60,0
61,0
62,9
63,2
64,4
65,3
66,6
67,9
68,8
69,9
70,1
71,1
72,1
73,4
74,0
75,9
76,9
77,0
78,1
79,2
80,2
81,3
82,0
83,6
84,5
85,0
86,4
87,6
88,7
89,3
90,4
91,0
92,4
93,8
94,7
95,1
96,9
97,5
98,1
99,5
100,9
101,5
102,8
103,4
104,9
105,6
106,1
107,5
108,4
109,7
110,1
111,1
112,5
113,8
114,3
115,0
116,7
117,5
118,1
119,7
120,8
121,8
122,8
123,4
124,2
125,5
126,6
127,2
128,4
129,2
130,0
131,1
132,9
133,1
134,9
135,3
136,8
137,5
138,3
139,9
140,1
141,1
142,4
143,1
144,0
145,0
146,6
147,4
148,7
149,5
150,1
151,6
152,7
153,5
154,1
155,1
156,5
157,9
158,8
159,3
160,8
161,3
162,4
163,7
164,0
165,5
166,8
167,6
168,6
169,9
170,6
171,3
172,5
173,7
174,0
175,5
176,0
177,5
178,4
179,7
180,4
181,6
182,4
183,4
184,3
185,6
186,3
187,4
188,8
189,8
190,2
191,3
192,8
193,9
194,5
195,2
196,6
197,3
198,6
199,6
200,8
201,6
202,5
203,7
204,0
205,7
206,4
207,2
208,0
209,6
210,8
211,7
212,0
213,5
214,7
215,9
216,1
217,0
218,2
219,6
220,4
221,1
222,0
223,3
224,6
225,8
226,7
227,6
228,7
229,0
230,9
231,0
232,5
233,9
234,4
235,1
236,1
237,4
238,8
239,4
240,4
241,6
242,6
243,3
244,0
245,0
246,0
247,6
248,0
249,1
250,2
251,5
252,4
253,1
254,9
255,2
256,3
257,4
258,2
259,3
260,4
261,8
262,6
263,9
264,0
265,7
266,8
267,5
268,4
269,7
270,3
271,4
272,7
273,8
274,4
275,8
276,9
277,4
278,6
279,0
280,5
281,7
282,9
283,2
284,5
285,8
286,9
287,5
288,9
289,3
290,5
291,5
292,6
293,5
294,5
295,2
296,6
297,3
298,4
299,6
300,0
301,2
302,9
303,5
304,8
305,4
306,9
307,9
308,9
309,9
310,3
311,4
312,4
313,9
314,1
315,6
316,0
317,0
318,0
319,7
320,6
321,5
322,5
323,9
324,9
325,2
326,1
327,4
328,6
329,9
330,7
331,7
332,5
333,6
334,2
335,9
336,6
337,3
338,8
339,1
340,6
341,8
342,2
343,3
344,5
345,4
346,0
347,6
348,6
349,8
350,3
351,1
352,6
353,1
354,2
355,3
356,1
357,8
358,1
359,9
360,8
361,2
362,4
363,2
364,0
365,3
366,7
367,9
368,7
369,8
370,4
371,4
372,2
373,4
374,3
375,6
376,2
377,3
378,7
379,0
380,4
381,7
382,1
383,0
384,8
385,4
386,5
387,9
388,8
389,2
390,1
391,8
392,6
393,0
394,7
395,7
396,5
397,5
398,3
399,0
400,9
401,1
402,5
403,6
404,0
405,8
406,5
407,6
408,9
409,1
410,4
411,5
412,3
413,7
414,6
415,3
416,2
417,5
418,1
419,3
420,4
421,0
422,4
423,8
424,3
425,7
426,3
427,4
428,7
429,4
430,1
431,9
432,3
433,0
434,3
435,9
436,2
437,5
438,3
439,3
440,4
441,6
442,6
443,3
444,6
445,1
446,2
447,0
448,4
449,5
450,6
451,9
452,9
453,9
454,3
455,9
456,8
457,3
458,0
459,1
460,2
461,4
462,0
463,1
464,1
465,1
466,9
467,0
468,4
469,9
470,4
471,4
472,8
473,9
474,2
475,4
476,5
477,4
478,7
479,0
480,7
481,7
482,7
483,1
484,9
485,1
486,5
487,6
488,3
489,9
490,8
491,3
492,2
493,0
494,0
495,6
496,4
497,0
498,6
499,3
500,4
501,5
502,7
503,0
504,1
505,9
506,2
507,2
508,0
509,2
510,4
511,3
512,2
513,6
514,7
515,5
516,7
517,6
518,0
519,5
520,1
521,3
522,2
523,3
524,7
525,7
526,4
527,9
528,0
529,3
530,8
531,9
532,4
533,1
534,7
535,9
536,3
537,9
538,8
539,0
540,2
541,2
542,4
543,6
544,2
545,8
546,1
547,6
548,6
549,2
550,4
551,0
552,3
553,1
554,4
555,9
556,4
557,6
558,8
559,8
560,3
561,4
562,8
563,7
564,9
565,0
566,5
567,1
568,4
569,7
570,1
571,9
572,5
573,4
574,0
575,1
576,2
577,0
578,8
579,1
580,3
581,3
582,7
583,9
584,9
585,4
586,2
587,1
588,6
589,7
590,2
591,4
592,0
593,9
594,6
595,2
596,8
